m50w,t85w,COG,mean,ang,std,kurt,sm2std,grmn,class
-0.397076359,-0.476238062,0.330741492,-0.892765378,-0.971508115,-0.867272758,-0.75001379,0.5,0,2FJ
-0.480679039,-0.615881528,-0.364024222,-0.919233699,-0.984966369,-0.898970316,-0.833229523,0.5,0,2FJ
-0.811978182,-0.702848102,0.92038835,-0.835384431,-0.817022328,-0.492920683,-0.460273723,0.75,-0.333333333,1FS
-0.079429849,-0.331499304,0.123083549,-0.08330884,-0.86007431,-0.336029297,-0.432123847,-0.25,0,4FJ
-0.762650802,-0.649423982,0.303309994,-0.883679239,-0.879523101,-0.669587817,-0.523393842,0.5,-0.666666667,1FS
-0.527926221,-0.633161056,-0.314202172,-0.841803986,-0.963611208,-0.77041684,-0.828720623,0.5,0,2FJ
-0.466759973,-0.650504658,-0.401806854,-0.774645562,-0.96585642,-0.729039489,-0.805234514,0.25,0.333333333,4FJ
-0.694330509,-0.651531638,-0.759938294,-0.483987851,-0.751017611,0.142029488,-0.858494914,0.5,-0.333333333,4FJ
-0.817788975,-0.842131623,-0.874231242,-0.610601234,-0.821705441,-0.005754205,-0.650531163,0.5,-0.333333333,4FJ
-0.403215391,-0.580363911,-0.335343672,-0.866889633,-0.986429416,-0.879480099,-0.697415005,0,0,4FJ
-0.645620957,-0.716548955,0.431457431,-0.947578504,-0.970837047,-0.88190145,-0.591840437,0.5,-0.333333333,1FS
-0.829053819,-0.8032946,0.04133625,-0.677660896,-0.663219772,0.01445676,-0.223368429,0.75,-0.666666667,1FS
0.012278193,-0.32109572,0.146829916,-0.691981442,-0.976669291,-0.847906014,-0.363837701,-0.5,0.333333333,4FJ
-0.441453887,-0.628998558,-0.426267957,-0.814249279,-0.970064734,-0.768629668,-0.795984979,0.25,0.333333333,4FJ
-0.824925597,-0.706091566,0.8643324,-0.862544088,-0.849602303,-0.592490507,-0.350053882,0.75,-0.333333333,1FS
-0.157721824,-0.162662871,0.328266667,-0.359843529,-0.845501775,-0.372397538,-0.571241855,-0.25,0.333333333,4FJ
